Domain,Passage,Q1,A1,Q1_Type,Q1_Difficulty,Q2,A2,Q2_Type,Q2_Difficulty,Q3,A3,Q3_Type,Q3_Difficult,Q4,A4,Q4_Type,Q4_Difficulty
Fraud Risk Management,धोखाधड़ी जोखिम प्रबंधन पर मास्टर निदेशों में विनियमित संस्थाओं को धोखाधड़ी के मामलों की निगरानी और अनुवर्ती कार्रवाई के लिए बोर्ड की एक विशेष समिति या कार्यकारी समिति गठित करना अपेक्षित है। ऐसी समिति के समक्ष मामले रखने के लिए धोखाधड़ी में शामिल राशि की सीमा विनियमित संस्थाओं के बोर्ड द्वारा तय की जाएगी।,एससीबीएमएफ/सीओई क्या है?,धोखाधड़ी के मामलों की निगरानी और अनुवर्ती कार्रवाई के लिए बोर्ड की विशेष समिति,Factual,Easy,धोखाधड़ी मामलों की राशि सीमा कौन तय करता है?,विनियमित संस्थाओं का बोर्ड,Factual,Medium,क्या सभी धोखाधड़ी मामले समिति के समक्ष जाते हैं?,नहीं बोर्ड द्वारा तय सीमा के आधार पर,Inferential,Medium,समिति गठन किसके लिए अपेक्षित है?,सभी विनियमित संस्थाओं के लिए,Factual,Easy
Fraud Risk Management,विनियमित संस्थाओं को धोखाधड़ी की घटनाओं को लागू कानूनों के अधीन तुरंत कानून प्रवर्तन एजेंसियों को रिपोर्ट करना अपेक्षित है। भारतीय नागरिक सुरक्षा संहिता 2023 की धारा 33 के तहत सभी अपराधों की रिपोर्ट करना अनिवार्य नहीं है। हालांकि विनियमित संस्थाओं को ₹1 लाख या उससे अधिक की राशि से जुड़ी धोखाधड़ी की घटनाओं की रिपोर्ट अनिवार्य रूप से एलईए को करनी होगी।,धोखाधड़ी रिपोर्टिंग के लिए न्यूनतम राशि सीमा क्या है?,₹1 लाख या उससे अधिक,Numerical,Easy,क्या छोटे मूल्य की धोखाधड़ी रिपोर्ट करना अनिवार्य है?,नहीं लेकिन 1 लाख से ऊपर अनिवार्य है,Conditional,Medium,बीएनएसएस की कौन सी धारा प्रासंगिक है?,धारा 33,Factual,Easy,एलईए का पूर्ण रूप क्या है?,कानून प्रवर्तन एजेंसी,Factual,Easy
Fraud Risk Management,संशोधित मास्टर निदेशों के अनुसार बैंकों को आरबीआई को धोखाधड़ी पर मासिक प्रमाणपत्र मासिक केंद्रीय धोखाधड़ी रजिस्ट्री प्रमाणपत्र और फ्लैश रिपोर्ट प्रस्तुत करने की आवश्यकता नहीं है।,क्या बैंकों को मासिक सीएफआर प्रमाणपत्र देना होगा?,नहीं संशोधित निदेशों के अनुसार आवश्यक नहीं,Factual,Easy,फ्लैश रिपोर्ट क्या है?,धोखाधड़ी की तत्काल रिपोर्टिंग प्रणाली,Factual,Medium,क्या कोई रिपोर्टिंग आवश्यकता समाप्त हुई है?,हां मासिक प्रमाणपत्र और फ्लैश रिपोर्ट,Inferential,Medium,,,,
KYC Compliance,केवाईसी एक ऐसी प्रक्रिया है जिसके द्वारा एक विनियमित संस्था बैंक सहित ग्राहक की पहचान और पता व्यवसाय की प्रकृति और वित्तीय स्थिति के बारे में जानकारी प्राप्त करती है और उसका सत्यापन करती है। यह प्रक्रिया यह सुनिश्चित करने में मदद करती है कि सेवाओं का दुरुपयोग काले धन को वैध बनाना आतंकवादी वित्तपोषण उद्देश्यों के लिए नहीं किया जाता हो।,केवाईसी का पूर्ण रूप क्या है?,अपने ग्राहक को जानिए,Factual,Easy,केवाईसी क्यों आवश्यक है?,मनी लॉन्ड्रिंग और आतंकवादी वित्तपोषण रोकने के लिए,Inferential,Medium,केवाईसी में क्या जानकारी एकत्र की जाती है?,पहचान पता व्यवसाय की प्रकृति और वित्तीय स्थिति,Factual,Easy,एमएल टीएफ पीएफ का अर्थ क्या है?,मनी लॉन्ड्रिंग टेररिस्ट फाइनेंसिंग प्रोलिफरेशन फाइनेंसिंग,Factual,Medium
KYC Compliance,केवाईसी अनिवार्य रूप से किया जाना है खाता आधारित संबंध की शुरुआत करते समय जब वॉक इन ग्राहक ₹50000 के बराबर या उससे अधिक राशि का लेनदेन करता है जब अंतरराष्ट्रीय रामि अंतरण करता है जब प्राप्त ग्राहक पहचान डेटा की प्रामाणिकता के बारे में संदेह हो और जब एजेंट के रूप में उत्पाद बेचता है।,केवाईसी कब अनिवार्य है?,खाता खोलते समय और 50000 रुपये से अधिक लेनदेन पर,Factual,Easy,वॉक इन ग्राहक के लिए केवाईसी सीमा क्या है?,₹50000,Numerical,Easy,क्या अंतरराष्ट्रीय रामि अंतरण के लिए केवाईसी चाहिए?,हां चाहे रामि कितनी भी हो,Factual,Medium,कितनी परिस्थितियों में केवाईसी अनिवार्य है?,पांच प्रमुख परिस्थितियां,Numerical,Medium
KYC Compliance,वाक इन ग्राहक का अर्थ ऐसे व्यक्ति से है जिसका आरई के साथ खाता आधारित संबंध नहीं है लेकिन वह आरई के साथ लेनदेन करता है। यदि किसी आरई का मौजूदा केवाईसी अनुपालक ग्राहक उसी आरई में दूसरा खाता खोलना चाहता है तो उसे कोई केवाईसी दस्तावेज जमा करने की आवश्यकता नहीं है।,वॉक इन ग्राहक कौन है?,जिसका बैंक में खाता नहीं है लेकिन लेनदेन करता है,Factual,Easy,क्या दूसरा खाता खोलने पर फिर से केवाईसी चाहिए?,नहीं यदि पहले से केवाईसी अनुपालक हो,Conditional,Medium,मौजूदा ग्राहक को क्या लाभ है?,दूसरे खाते के लिए दस्तावेज फिर से नहीं देने होंगे,Inferential,Medium,,,,
KYC Compliance,व्यक्ति द्वारा खाता खोलने के लिए आधिकारिक रूप से मान्य दस्तावेज में से कोई एक जैसे पासपोर्ट ड्राइविंग लाइसेंस आधार संख्या होने का प्रमाण मतदाता पहचान पत्र नरेगा जॉब कार्ड और एनपीआर द्वारा जारी पत्र के साथ स्थायी खाता संख्या पैन और ग्राहक के व्यवसाय की प्रकृति के दस्तावेज आवश्यक हैं।,ओवीडी के कितने प्रकार हैं?,छह प्रमुख ओवीडी पासपोर्ट लाइसेंस आधार वोटर आईडी नरेगा कार्ड एनपीआर पत्र,Numerical,Medium,क्या पैन अनिवार्य है?,हां या फॉर्म 60,Conditional,Easy,नरेगा कार्ड किसके द्वारा जारी किया जाता है?,राज्य सरकार के अधिकारी द्वारा,Factual,Medium,खाता खोलने के लिए कितने दस्तावेज चाहिए?,तीन प्रकार - ओवीडी पैन और व्यवसाय दस्तावेज,Numerical,Easy
KYC Compliance,यदि किसी ग्राहक के पास ओवीडी नहीं है तब भी वह बैंक में लघु खाता खोल सकता है। बैंक ग्राहक से एक स्व सत्यापित फोटोग्राफ प्राप्त करेगा और बैंक का नामित अधिकारी अपने हस्ताक्षर से प्रमाणित करेगा। लघु खाता प्रारंभ में बारह महीने की अवधि के लिए चालू रहेगा।,लघु खाता क्या है?,ओवीडी के बिना खोला जाने वाला खाता,Factual,Easy,लघु खाता कितने समय के लिए वैध है?,बारह महीने,Numerical,Easy,लघु खाते के लिए क्या दस्तावेज चाहिए?,स्व सत्यापित फोटोग्राफ,Factual,Medium,कौन फोटो को प्रमाणित करता है?,बैंक का नामित अधिकारी,Factual,Easy
KYC Compliance,निष्क्रिय खाता वह बचत चालू खाता है जिसमें दो वर्ष से अधिक अवधि तक कोई ग्राहक प्रेरित लेनदेन नहीं हुआ हो। निष्क्रिय खातों को सक्रिय करने के लिए ग्राहक अपनी केवाईसी जानकारी आरई की घरेलू गैर घरेलू शाखा में तथा वी सीआईपी के माध्यम से भी अपडेट कर सकता है। बैंक को अपनी सभी शाखाओं में केवाईसी अद्यतन करने की सुविधा उपलब्ध करानी होगी।,निष्क्रिय खाता क्या है?,दो वर्ष से बिना लेनदेन वाला खाता,Factual,Easy,निष्क्रिय खाता कैसे सक्रिय करें?,केवाईसी अपडेट करके,Factual,Easy,क्या किसी भी शाखा में सक्रिय कर सकते हैं?,हां किसी भी शाखा में या वी सीआईपी से,Factual,Medium,ग्राहक प्रेरित लेनदेन क्या है?,ग्राहक द्वारा शुरू किया गया लेनदेन बैंक शुल्क नहीं,Inferential,Hard
KYC Compliance,निष्क्रिय खातों को सक्रिय करने की प्रक्रिया को आसान बनाने के लिए बैंक को अपनी सभी शाखाओं में केवाईसी अद्यतन करने की सुविधा उपलब्ध करानी होगी और यदि खाताधारक द्वारा अनुरोध किया जाता है तो बैंक वीडियो ग्राहक पहचान प्रक्रिया के माध्यम से केवाईसी अद्यतन की सुविधा उपलब्ध कराएगा।,निष्क्रिय खाता सक्रियण के लिए कहां जाएं?,किसी भी शाखा में,Factual,Easy,क्या वी सीआईपी से सक्रिय कर सकते हैं?,हां यदि बैंक यह सुविधा दे,Conditional,Medium,बैंक की क्या जिम्मेदारी है?,सभी शाखाओं में केवाईसी सुविधा देना,Factual,Medium,,,,
