Domain,Passage,Q1,A1,Q1_Type,Q1_Difficulty,Q2,A2,Q2_Type,Q2_Difficulty,Q3,A3,Q3_Type,Q3_Difficult,Q4,A4,Q4_Type,Q4_Difficulty
Regulatory Sandbox,"विनियामक सैंडबॉक्स आमतौर पर नियंत्रित/परीक्षण विनियामक वातावरण में नए उत्पादों या सेवाओं के लाइव परीक्षण को संदर्भित करता है, जिसके लिए विनियामक परीक्षण के सीमित उद्देश्य के लिए कुछ विनियामक छूट की अनुमति दी जा सकती हैं।",विनियामक सैंडबॉक्स क्या है?,नियंत्रित विनियामक वातावरण में नए उत्पादों या सेवाओं के लाइव परीक्षण की व्यवस्था,Factual,Easy,सैंडबॉक्स में किस प्रकार की छूट मिल सकती है?,परीक्षण के सीमित उद्देश्य के लिए कुछ विनियामक छूट,Factual,Easy,क्या सैंडबॉक्स में सभी विनियामक नियम लागू होते हैं?,"नहीं, परीक्षण के लिए कुछ विनियामक छूट की अनुमति दी जा सकती है",Inferential,Medium,,,,
Financial Regulators,"भारत में वित्तीय क्षेत्र के विनियामकों/प्राधिकरणों ने अपने-अपने क्षेत्रों में नवोन्मेष को बढ़ावा देने के लिए विनियामक सैंडबॉक्स स्थापित किए हैं। इनमें भारतीय रिज़र्व बैंक (RBI), भारतीय प्रतिभूति और विनिमय बोर्ड (SEBI), भारतीय बीमा विनियामक और विकास प्राधिकरण (IRDAI), और अंतर्राष्ट्रीय वित्तीय सेवा केंद्र प्राधिकरण (IFSCA) शामिल हैं।",भारत में कौन-कौन से वित्तीय विनियामकों ने सैंडबॉक्स स्थापित किए हैं?,"RBI, SEBI, IRDAI, और IFSCA",Factual,Medium,विनियामकों ने सैंडबॉक्स क्यों स्थापित किए हैं?,अपने-अपने क्षेत्रों में नवोन्मेष को बढ़ावा देने के लिए,Factual,Medium,कितने प्रमुख वित्तीय विनियामकों ने भारत में सैंडबॉक्स स्थापित किए हैं?,"चार विनियामक - RBI, SEBI, IRDAI, और IFSCA",Numerical,Hard,क्या PFRDA के पास अपना सैंडबॉक्स है?,"हीं, PFRDA के पास वर्तमान में अपना स्वयं का विनियामक सैंडबॉक्स नहीं है",Factual,Medium
IoRS Framework,"इंटर-ऑपरेबल विनियामक सैंडबॉक्स (आईओआरएस) नवप्रवर्तकों को एक से अधिक वित्तीय क्षेत्र विनियामकों के विनियामकीय दायरे में आने वाले हाइब्रिड वित्तीय उत्पादों/सेवाओं का परीक्षण करने के लिए एक साझा मंच प्रदान करता है। विभिन्न विनियामकों के साथ अलग-अलग संपर्क करने की आवश्यकता को समाप्त करके, आईओआरएस परीक्षण प्रक्रियाओं को सरल बनाता है।",आईओआरएस क्या है?,एक साझा मंच जो हाइब्रिड वित्तीय उत्पादों के परीक्षण की सुविधा देता है,Factual,Medium,आईओआरएस किस प्रकार के उत्पादों के लिए है?,एक से अधिक विनियामकों के दायरे में आने वाले हाइब्रिड उत्पादों के लिए,Factual,Medium,आईओआरएस परीक्षण प्रक्रिया को कैसे सरल बनाता है?,विभिन्न विनियामकों के साथ अलग-अलग संपर्क करने की आवश्यकता समाप्त करके,Inferential,Hard,आईओआरएस का मुख्य लाभ क्या है?,एकल मंच से कई विनियामकों के साथ काम करने की सुविधा,Inferential,Medium
IoRS Participants,"आईओआरएस पहल में कई विनियामकों के बीच सहयोग शामिल है: भारतीय रिज़र्व बैंक (आरबीआई) बैंकिंग और भुगतान प्रणालियों हेतु, भारतीय प्रतिभूति और विनिमय बोर्ड (सेबी) प्रतिभूति बाजारों हेतु, भारतीय बीमा विनियामक और विकास प्राधिकरण (आईआरडीएआई) बीमा उत्पादों के लिए, और पेंशन निधि विनियामक और विकास प्राधिकरण (पीएफआरडीए) पेंशन से संबंधित नवोन्मेषों हेतु।",आईओआरएस में कौन-कौन से विनियामक शामिल हैं?,"RBI, SEBI, IRDAI, PFRDA, और IFSCA",Factual,Easy,RBI आईओआरएस में किस क्षेत्र के लिए जिम्मेदार है?,बैंकिंग और भुगतान प्रणालियों के लिए,Factual,Medium,बीमा उत्पादों के लिए कौन सा विनियामक जिम्मेदार है?,IRDAI (भारतीय बीमा विनियामक और विकास प्राधिकरण),Factual,Hard,SEBI किस प्रकार के उत्पादों को विनियमित करता है?,प्रतिभूति बाजारों से संबंधित उत्पाद,Factual,Medium
Eligibility,"सामान्यतः निम्नलिखित संस्थाएं आईओआरएस में भागीदारी कर सकती हैं: वित्तीय संस्थान, फिनटेक कंपनियां, रेगटेक प्रदाता, स्टार्ट-अप या अन्य नवप्रवर्तक जो विभिन्न वित्तीय क्षेत्रों से संबंधित उत्पाद/सेवाएं प्रदान करते हैं। हालाँकि, पात्रता मानदंड मुख्य रूप से प्रधान विनियामक के आरएस रूपरेखा द्वारा नियंत्रित किए जाएंगे।",आईओआरएस में कौन भागीदारी कर सकता है?,"वित्तीय संस्थान, फिनटेक कंपनियां, रेगटेक प्रदाता, और स्टार्ट-अप",Factual,Medium,क्या स्टार्ट-अप आईओआरएस में आवेदन कर सकते हैं?,"हां, स्टार्ट-अप और अन्य नवप्रवर्तक आवेदन कर सकते हैं",Factual,Hard,पात्रता मानदंड कौन निर्धारित करता है?,प्रधान विनियामक का आरएस रूपरेखा,Factual,Medium,कितने प्रकार की संस्थाएं आईओआरएस में भाग ले सकती हैं?,"कम से कम चार प्रकार - वित्तीय संस्थान, फिनटेक, रेगटेक, और स्टार्ट-अप",Numerical,Medium
Product Testing,"आईओआरएस उन वित्तीय उत्पादों या सेवाओं के परीक्षण की अनुमति देता है जिनकी विशेषताएँ एक से अधिक वित्तीय क्षेत्र के विनियामकों के अधिकार क्षेत्र में आती हैं। ऐसे कुछ नवोन्मेषी समाधानों में रेगटेक और सुपटेक, डिजिटल भुगतान समाधान, बैंकिंग सेवाओं से जुड़े बीमा उत्पादों, इंश्योरटेक, वेल्थटेक, सीमापारीय भुगतान समाधान आदि शामिल हैं।",आईओआरएस में किस प्रकार के उत्पादों का परीक्षण किया जा सकता है?,जो एक से अधिक विनियामकों के अधिकार क्षेत्र में आने वाले उत्पाद,Factual,Easy,रेगटेक और सुपटेक का परीक्षण कहाँ किया जा सकता है?,आईओआरएस में,Factual,Medium,बैंकिंग से जुड़े बीमा उत्पादों का परीक्षण क्यों आईओआरएस में होता है?,क्योंकि ये एक से अधिक विनियामकों (RBI और IRDAI) के दायरे में आते हैं,Inferential,Medium,कितने प्रकार के नवोन्मेषी समाधान आईओआरएस में शामिल हो सकते हैं?,"कई प्रकार - रेगटेक, सुपटेक, डिजिटल भुगतान, इंश्योरटेक, वेल्थटेक, सीमापारीय भुगतान आदि",Factual,Medium
Benefits,"आईओआरएस में भाग लेने के लाभ: नियंत्रित, कम जोखिम वाले वातावरण में नवीन समाधानों का परीक्षण किया जा सकेगा। विभिन्न क्षेत्रों में अनुपालन सुनिश्चित करने के लिए एकल खिड़की के माध्यम से कई विनियामकों के साथ वार्तालाप संभव होगा। विनियामकों से प्रतिक्रिया और सैंडबॉक्स परीक्षण के आधार पर उत्पादों को परिष्कृत करने का अवसर प्राप्त होगा।",आईओआरएस में भाग लेने के क्या लाभ हैं?,"नियंत्रित वातावरण में परीक्षण, एकल खिड़की से संपर्क, और उत्पाद परिष्कृत करने का अवसर",Factual,Medium,आईओआरएस किस प्रकार का परीक्षण वातावरण प्रदान करता है?,"नियंत्रित, कम जोखिम वाला वातावरण",Factual,Hard,एकल खिड़की का क्या मतलब है?,एक ही जगह से कई विनियामकों के साथ वार्तालाप कर सकते हैं,Inferential,Hard,परीक्षण के बाद उत्पाद में क्या सुधार हो सकता है?,विनियामकों की प्रतिक्रिया के आधार पर उत्पाद को परिष्कृत किया जा सकता है,Inferential,Medium
Fraud Risk Management,धोखाधड़ी जोखिम प्रबंधन पर मास्टर निदेशों में विनियमित संस्थाओं को धोखाधड़ी के मामलों की निगरानी और अनुवर्ती कार्रवाई के लिए बोर्ड की एक विशेष समिति या कार्यकारी समिति गठित करना अपेक्षित है। ऐसी समिति के समक्ष मामले रखने के लिए धोखाधड़ी में शामिल राशि की सीमा विनियमित संस्थाओं के बोर्ड द्वारा तय की जाएगी।,एससीबीएमएफ/सीओई क्या है?,धोखाधड़ी के मामलों की निगरानी और अनुवर्ती कार्रवाई के लिए बोर्ड की विशेष समिति,Factual,Easy,धोखाधड़ी मामलों की राशि सीमा कौन तय करता है?,विनियमित संस्थाओं का बोर्ड,Factual,Medium,क्या सभी धोखाधड़ी मामले समिति के समक्ष जाते हैं?,नहीं बोर्ड द्वारा तय सीमा के आधार पर,Inferential,Medium,समिति गठन किसके लिए अपेक्षित है?,सभी विनियमित संस्थाओं के लिए,Factual,Easy
Fraud Risk Management,विनियमित संस्थाओं को धोखाधड़ी की घटनाओं को लागू कानूनों के अधीन तुरंत कानून प्रवर्तन एजेंसियों को रिपोर्ट करना अपेक्षित है। भारतीय नागरिक सुरक्षा संहिता 2023 की धारा 33 के तहत सभी अपराधों की रिपोर्ट करना अनिवार्य नहीं है। हालांकि विनियमित संस्थाओं को ₹1 लाख या उससे अधिक की राशि से जुड़ी धोखाधड़ी की घटनाओं की रिपोर्ट अनिवार्य रूप से एलईए को करनी होगी।,धोखाधड़ी रिपोर्टिंग के लिए न्यूनतम राशि सीमा क्या है?,₹1 लाख या उससे अधिक,Numerical,Easy,क्या छोटे मूल्य की धोखाधड़ी रिपोर्ट करना अनिवार्य है?,नहीं लेकिन 1 लाख से ऊपर अनिवार्य है,Conditional,Medium,बीएनएसएस की कौन सी धारा प्रासंगिक है?,धारा 33,Factual,Easy,एलईए का पूर्ण रूप क्या है?,कानून प्रवर्तन एजेंसी,Factual,Easy
Fraud Risk Management,प्राकृतिक न्याय के सिद्धांतों के अनुपालन को सुनिश्चित करने की आवश्यकता विनियमित संस्थाओं द्वारा धोखाधड़ी के रूप में वर्गीकृत सभी व्यक्तियों संस्थाओं और इसके प्रमोटरों पूर्णकालिक और कार्यपालक निदेशकों पर लागू होती है। यह आवश्यकता धोखाधड़ी वर्गीकरण के सभी मामलों में लागू होती है जिसके सिविल परिणाम हो सकते हैं।,प्राकृतिक न्याय सिद्धांत किन पर लागू होता है?,धोखाधड़ी में वर्गीकृत सभी व्यक्तियों और संस्थाओं पर,Factual,Medium,क्या यह केवल अग्रिम संबंधित मामलों में लागू है?,नहीं सभी धोखाधड़ी वर्गीकरण मामलों में,Factual,Medium,सिविल परिणाम से क्या तात्पर्य है?,दंडात्मक उपाय और सावधानी सूची में डालना,Inferential,Hard,कौन सा सुप्रीम कोर्ट निर्णय प्रासंगिक है?,27 मार्च 2023 का निर्णय भारतीय स्टेट बैंक बनाम राजेश अग्रवाल,Factual,Medium
